content_id,lemma,literacy_term_id,is_S,verdict,verdict_reason,existing_caution_phase24,additional_finding_phase25
SR_L6CORE_6018,죄형법정주의,6018,True,PASS,"canonical_definition이 literacy.db 원문과 자구 그대로 일치, student_definition/example이 원천 의미를 넓히거나 좁히지 않음(스크립트 재확인: 불일치 0건)",전문 법 개념(형법 총론)이라 S 13건 공통 사유로 전문가 검수 필요.,
SR_L6CORE_6019,범죄,6019,True,PASS,"canonical_definition이 literacy.db 원문과 자구 그대로 일치, student_definition/example이 원천 의미를 넓히거나 좁히지 않음(스크립트 재확인: 불일치 0건)",S 13건 공통 사유로 전문가 검수 필요.,
SR_L6CORE_6021,형벌,6021,True,PASS,"canonical_definition이 literacy.db 원문과 자구 그대로 일치, student_definition/example이 원천 의미를 넓히거나 좁히지 않음(스크립트 재확인: 불일치 0건)",S 13건 공통 사유로 전문가 검수 필요.,
SR_L6CORE_6030,적법절차의 원칙,6030,True,PASS,"canonical_definition이 literacy.db 원문과 자구 그대로 일치, student_definition/example이 원천 의미를 넓히거나 좁히지 않음(스크립트 재확인: 불일치 0건)",S 13건 공통 사유로 전문가 검수 필요. '무죄추정의 원칙'과 함께 형사절차 관련 원칙 짝으로 동시 학습될 수 있음(반의 관계는 아님).,
SR_L6CORE_6031,무죄추정의 원칙,6031,True,PASS,"canonical_definition이 literacy.db 원문과 자구 그대로 일치, student_definition/example이 원천 의미를 넓히거나 좁히지 않음(스크립트 재확인: 불일치 0건)",S 13건 공통 사유로 전문가 검수 필요.,
SR_L6CORE_6036,실체법,6036,True,PASS,"canonical_definition이 literacy.db 원문과 자구 그대로 일치, student_definition/example이 원천 의미를 넓히거나 좁히지 않음(스크립트 재확인: 불일치 0건)",phase23에서 확인된 '절차법'과 대비 짝(실체법=권리·의무의 내용 규정 / 절차법=그 실현 절차 규정) - 같은 세트 출제 시 구분 문구 권장. S 13건 공통 사유로 전문가 검수 필요.,
SR_L6CORE_6037,절차법,6037,True,PASS,"canonical_definition이 literacy.db 원문과 자구 그대로 일치, student_definition/example이 원천 의미를 넓히거나 좁히지 않음(스크립트 재확인: 불일치 0건)",'실체법'과 대비 짝(위와 동일 근거) - 같은 세트 출제 시 구분 문구 권장. S 13건 공통 사유로 전문가 검수 필요.,
SR_L6CORE_6038,일반법,6038,True,PASS,"canonical_definition이 literacy.db 원문과 자구 그대로 일치, student_definition/example이 원천 의미를 넓히거나 좁히지 않음(스크립트 재확인: 불일치 0건)",'특별법'과 대비 짝(일반법=일반 적용 / 특별법=특정 대상 한정 적용) - 같은 세트 출제 시 구분 문구 권장. S 13건 공통 사유로 전문가 검수 필요.,
SR_L6CORE_6039,특별법,6039,True,PASS,"canonical_definition이 literacy.db 원문과 자구 그대로 일치, student_definition/example이 원천 의미를 넓히거나 좁히지 않음(스크립트 재확인: 불일치 0건)",'일반법'과 대비 짝(위와 동일 근거) - 같은 세트 출제 시 구분 문구 권장. S 13건 공통 사유로 전문가 검수 필요.,
SR_L6CORE_6040,노동법,6040,True,PASS,"canonical_definition이 literacy.db 원문과 자구 그대로 일치, student_definition/example이 원천 의미를 넓히거나 좁히지 않음(스크립트 재확인: 불일치 0건)",S 13건 공통 사유로 전문가 검수 필요.,
SR_L6CORE_6041,사회보장법,6041,True,PASS,"canonical_definition이 literacy.db 원문과 자구 그대로 일치, student_definition/example이 원천 의미를 넓히거나 좁히지 않음(스크립트 재확인: 불일치 0건)",S 13건 공통 사유로 전문가 검수 필요.,
SR_L6CORE_6042,경제법,6042,True,PASS,"canonical_definition이 literacy.db 원문과 자구 그대로 일치, student_definition/example이 원천 의미를 넓히거나 좁히지 않음(스크립트 재확인: 불일치 0건)",S 13건 공통 사유로 전문가 검수 필요.,
SR_L6CORE_6043,행정법,6043,True,PASS,"canonical_definition이 literacy.db 원문과 자구 그대로 일치, student_definition/example이 원천 의미를 넓히거나 좁히지 않음(스크립트 재확인: 불일치 0건)",S 13건 공통 사유로 전문가 검수 필요.,
SR_L6CORE_4942,아이디어,4942,False,PASS,"canonical_definition이 literacy.db 원문과 자구 그대로 일치, student_definition/example이 원천 의미를 넓히거나 좁히지 않음(스크립트 재확인: 불일치 0건)",,
SR_L6CORE_4943,야기,4943,False,PASS,"canonical_definition이 literacy.db 원문과 자구 그대로 일치, student_definition/example이 원천 의미를 넓히거나 좁히지 않음(스크립트 재확인: 불일치 0건)",,
SR_L6CORE_4944,엄밀,4944,False,PASS,"canonical_definition이 literacy.db 원문과 자구 그대로 일치, student_definition/example이 원천 의미를 넓히거나 좁히지 않음(스크립트 재확인: 불일치 0건)",,
SR_L6CORE_4945,오류,4945,False,PASS,"canonical_definition이 literacy.db 원문과 자구 그대로 일치, student_definition/example이 원천 의미를 넓히거나 좁히지 않음(스크립트 재확인: 불일치 0건)",,
