content_id_for_draft,item_id,item_type,source_content_id,literacy_term_id,lemma,pos,vocab_level,prompt,options_json,correct_option,answer_payload_json,explanation,wrong_option_reasons_json,source_version,expert_review_status,l5_grade_caveat,auto_validation_status,auto_validation_issues
MF_A_SC_SRL4L5PILOT_20260925_L4_001,MF_A_SC_SRL4L5PILOT_20260925_L4_001,MEANING_CHOICE,SR_L4CORE_4813,4813,착수,명사,4,'착수'의 뜻으로 가장 알맞은 것은?,"[""어떤 일을 시작하여 손을 대는 것"", ""여러 사람이 모여 이룬 무리"", ""지위나 등급, 위치가 더 낮은 쪽"", ""중요한 것을 대충 보고 넘겨서 미처 신경 쓰지 않는 것""]",1,"{""correct_option"": 1}",'착수'는 '어떤 일을 시작하여 손을 대는 것'이라는 뜻입니다.,"[{""option_no"": 2, ""distractor_lemma"": ""집단"", ""distractor_content_id"": ""SR_L4CORE_4812"", ""reason"": ""이 설명은 '착수'가 아니라 '집단'의 뜻이다(여러 사람이 모여 이룬 무리). '착수'(어떤 일을 시작하여 손을 대는 것)와 의미 영역이 다르므로 오답이다.""}, {""option_no"": 3, ""distractor_lemma"": ""하위"", ""distractor_content_id"": ""SR_L4CORE_4825"", ""reason"": ""이 설명은 '착수'가 아니라 '하위'의 뜻이다(지위나 등급, 위치가 더 낮은 쪽). '착수'(어떤 일을 시작하여 손을 대는 것)와 의미 영역이 다르므로 오답이다.""}, {""option_no"": 4, ""distractor_lemma"": ""간과"", ""distractor_content_id"": ""SR_L4CORE_4749"", ""reason"": ""이 설명은 '착수'가 아니라 '간과'의 뜻이다(중요한 것을 대충 보고 넘겨서 미처 신경 쓰지 않는 것). '착수'(어떤 일을 시작하여 손을 대는 것)와 의미 영역이 다르므로 오답이다.""}]",schema_reading_l4l5_pilot_dryrun_v1,"관리자 검토용 초안 (전문가 검수 완료 아님) - V항목, phase15 AUTO_PASS 기반",,PASS,-
MF_C_SC_SRL4L5PILOT_20260925_L4_001,MF_C_SC_SRL4L5PILOT_20260925_L4_001,CONTEXT_MEANING,SR_L4CORE_4813,4813,착수,명사,4,"다음 문장에서 표시된 낱말의 뜻으로 가장 알맞은 것은?

도서관 공사가 다음 주에 【착수】될 예정입니다.","[""어떤 일을 시작하여 손을 대는 것"", ""여러 사람이 모여 이룬 무리"", ""지위나 등급, 위치가 더 낮은 쪽"", ""중요한 것을 대충 보고 넘겨서 미처 신경 쓰지 않는 것""]",1,"{""correct_option"": 1}",문장 속 '착수'는 '어떤 일을 시작하여 손을 대는 것'을 뜻합니다.,"[{""option_no"": 2, ""distractor_lemma"": ""집단"", ""distractor_content_id"": ""SR_L4CORE_4812"", ""reason"": ""이 설명은 '착수'가 아니라 '집단'의 뜻이다(여러 사람이 모여 이룬 무리). '착수'(어떤 일을 시작하여 손을 대는 것)와 의미 영역이 다르므로 오답이다.""}, {""option_no"": 3, ""distractor_lemma"": ""하위"", ""distractor_content_id"": ""SR_L4CORE_4825"", ""reason"": ""이 설명은 '착수'가 아니라 '하위'의 뜻이다(지위나 등급, 위치가 더 낮은 쪽). '착수'(어떤 일을 시작하여 손을 대는 것)와 의미 영역이 다르므로 오답이다.""}, {""option_no"": 4, ""distractor_lemma"": ""간과"", ""distractor_content_id"": ""SR_L4CORE_4749"", ""reason"": ""이 설명은 '착수'가 아니라 '간과'의 뜻이다(중요한 것을 대충 보고 넘겨서 미처 신경 쓰지 않는 것). '착수'(어떤 일을 시작하여 손을 대는 것)와 의미 영역이 다르므로 오답이다.""}]",schema_reading_l4l5_pilot_dryrun_v1,"관리자 검토용 초안 (전문가 검수 완료 아님) - V항목, phase15 AUTO_PASS 기반",,PASS,-
MF_A_SC_SRL4L5PILOT_20260925_L4_002,MF_A_SC_SRL4L5PILOT_20260925_L4_002,MEANING_CHOICE,SR_L4CORE_4794,4794,조치,명사,4,'조치'의 뜻으로 가장 알맞은 것은?,"[""스스로 결정하지 못하고 다른 것에 딸려 따르는 것"", ""상황을 살펴보고 필요한 일을 하는 것"", ""같은 것이 거듭되거나 서로 겹치는 것"", ""무엇이 있거나 어떤 일이 일어날 수 있는 자리나 빈 곳""]",2,"{""correct_option"": 2}",'조치'는 '상황을 살펴보고 필요한 일을 하는 것'이라는 뜻입니다.,"[{""option_no"": 1, ""distractor_lemma"": ""종속"", ""distractor_content_id"": ""SR_L4CORE_4796"", ""reason"": ""이 설명은 '조치'가 아니라 '종속'의 뜻이다(스스로 결정하지 못하고 다른 것에 딸려 따르는 것). '조치'(상황을 살펴보고 필요한 일을 하는 것)와 의미 영역이 다르므로 오답이다.""}, {""option_no"": 3, ""distractor_lemma"": ""중복"", ""distractor_content_id"": ""SR_L4CORE_4801"", ""reason"": ""이 설명은 '조치'가 아니라 '중복'의 뜻이다(같은 것이 거듭되거나 서로 겹치는 것). '조치'(상황을 살펴보고 필요한 일을 하는 것)와 의미 영역이 다르므로 오답이다.""}, {""option_no"": 4, ""distractor_lemma"": ""공간"", ""distractor_content_id"": ""SR_L4CORE_4750"", ""reason"": ""이 설명은 '조치'가 아니라 '공간'의 뜻이다(무엇이 있거나 어떤 일이 일어날 수 있는 자리나 빈 곳). '조치'(상황을 살펴보고 필요한 일을 하는 것)와 의미 영역이 다르므로 오답이다.""}]",schema_reading_l4l5_pilot_dryrun_v1,"관리자 검토용 초안 (전문가 검수 완료 아님) - V항목, phase15 AUTO_PASS 기반",,PASS,-
MF_C_SC_SRL4L5PILOT_20260925_L4_002,MF_C_SC_SRL4L5PILOT_20260925_L4_002,CONTEXT_MEANING,SR_L4CORE_4794,4794,조치,명사,4,"다음 문장에서 표시된 낱말의 뜻으로 가장 알맞은 것은?

학교는 미끄러운 계단에 안전 표지를 붙이는 【조치】를 했습니다.","[""스스로 결정하지 못하고 다른 것에 딸려 따르는 것"", ""상황을 살펴보고 필요한 일을 하는 것"", ""같은 것이 거듭되거나 서로 겹치는 것"", ""무엇이 있거나 어떤 일이 일어날 수 있는 자리나 빈 곳""]",2,"{""correct_option"": 2}",문장 속 '조치'는 '상황을 살펴보고 필요한 일을 하는 것'을 뜻합니다.,"[{""option_no"": 1, ""distractor_lemma"": ""종속"", ""distractor_content_id"": ""SR_L4CORE_4796"", ""reason"": ""이 설명은 '조치'가 아니라 '종속'의 뜻이다(스스로 결정하지 못하고 다른 것에 딸려 따르는 것). '조치'(상황을 살펴보고 필요한 일을 하는 것)와 의미 영역이 다르므로 오답이다.""}, {""option_no"": 3, ""distractor_lemma"": ""중복"", ""distractor_content_id"": ""SR_L4CORE_4801"", ""reason"": ""이 설명은 '조치'가 아니라 '중복'의 뜻이다(같은 것이 거듭되거나 서로 겹치는 것). '조치'(상황을 살펴보고 필요한 일을 하는 것)와 의미 영역이 다르므로 오답이다.""}, {""option_no"": 4, ""distractor_lemma"": ""공간"", ""distractor_content_id"": ""SR_L4CORE_4750"", ""reason"": ""이 설명은 '조치'가 아니라 '공간'의 뜻이다(무엇이 있거나 어떤 일이 일어날 수 있는 자리나 빈 곳). '조치'(상황을 살펴보고 필요한 일을 하는 것)와 의미 영역이 다르므로 오답이다.""}]",schema_reading_l4l5_pilot_dryrun_v1,"관리자 검토용 초안 (전문가 검수 완료 아님) - V항목, phase15 AUTO_PASS 기반",,PASS,-
MF_A_SC_SRL4L5PILOT_20260925_L4_003,MF_A_SC_SRL4L5PILOT_20260925_L4_003,MEANING_CHOICE,SR_L4CORE_4812,4812,집단,명사,4,'집단'의 뜻으로 가장 알맞은 것은?,"[""둘 이상의 것을 합쳐 하나로 만드는 것"", ""기한이나 기간이 일정하게 정해져 있는 것"", ""여러 사람이 모여 이룬 무리"", ""어떤 일을 시작하여 손을 대는 것""]",3,"{""correct_option"": 3}",'집단'은 '여러 사람이 모여 이룬 무리'이라는 뜻입니다.,"[{""option_no"": 1, ""distractor_lemma"": ""합성"", ""distractor_content_id"": ""SR_L4CORE_4827"", ""reason"": ""이 설명은 '집단'이 아니라 '합성'의 뜻이다(둘 이상의 것을 합쳐 하나로 만드는 것). '집단'(여러 사람이 모여 이룬 무리)과 의미 영역이 다르므로 오답이다.""}, {""option_no"": 2, ""distractor_lemma"": ""정기"", ""distractor_content_id"": ""SR_L4CORE_4786"", ""reason"": ""이 설명은 '집단'이 아니라 '정기'의 뜻이다(기한이나 기간이 일정하게 정해져 있는 것). '집단'(여러 사람이 모여 이룬 무리)과 의미 영역이 다르므로 오답이다.""}, {""option_no"": 4, ""distractor_lemma"": ""착수"", ""distractor_content_id"": ""SR_L4CORE_4813"", ""reason"": ""이 설명은 '집단'이 아니라 '착수'의 뜻이다(어떤 일을 시작하여 손을 대는 것). '집단'(여러 사람이 모여 이룬 무리)과 의미 영역이 다르므로 오답이다.""}]",schema_reading_l4l5_pilot_dryrun_v1,"관리자 검토용 초안 (전문가 검수 완료 아님) - V항목, phase15 AUTO_PASS 기반",,PASS,-
MF_C_SC_SRL4L5PILOT_20260925_L4_003,MF_C_SC_SRL4L5PILOT_20260925_L4_003,CONTEXT_MEANING,SR_L4CORE_4812,4812,집단,명사,4,"다음 문장에서 표시된 낱말의 뜻으로 가장 알맞은 것은?

합창단은 노래를 함께 부르려고 모인 【집단】입니다.","[""둘 이상의 것을 합쳐 하나로 만드는 것"", ""기한이나 기간이 일정하게 정해져 있는 것"", ""여러 사람이 모여 이룬 무리"", ""어떤 일을 시작하여 손을 대는 것""]",3,"{""correct_option"": 3}",문장 속 '집단'은 '여러 사람이 모여 이룬 무리'를 뜻합니다.,"[{""option_no"": 1, ""distractor_lemma"": ""합성"", ""distractor_content_id"": ""SR_L4CORE_4827"", ""reason"": ""이 설명은 '집단'이 아니라 '합성'의 뜻이다(둘 이상의 것을 합쳐 하나로 만드는 것). '집단'(여러 사람이 모여 이룬 무리)과 의미 영역이 다르므로 오답이다.""}, {""option_no"": 2, ""distractor_lemma"": ""정기"", ""distractor_content_id"": ""SR_L4CORE_4786"", ""reason"": ""이 설명은 '집단'이 아니라 '정기'의 뜻이다(기한이나 기간이 일정하게 정해져 있는 것). '집단'(여러 사람이 모여 이룬 무리)과 의미 영역이 다르므로 오답이다.""}, {""option_no"": 4, ""distractor_lemma"": ""착수"", ""distractor_content_id"": ""SR_L4CORE_4813"", ""reason"": ""이 설명은 '집단'이 아니라 '착수'의 뜻이다(어떤 일을 시작하여 손을 대는 것). '집단'(여러 사람이 모여 이룬 무리)과 의미 영역이 다르므로 오답이다.""}]",schema_reading_l4l5_pilot_dryrun_v1,"관리자 검토용 초안 (전문가 검수 완료 아님) - V항목, phase15 AUTO_PASS 기반",,PASS,-
MF_A_SC_SRL4L5PILOT_20260925_L4_004,MF_A_SC_SRL4L5PILOT_20260925_L4_004,MEANING_CHOICE,SR_L4CORE_4796,4796,종속,명사,4,'종속'의 뜻으로 가장 알맞은 것은?,"[""지위나 등급, 위치가 더 낮은 쪽"", ""중요한 것을 대충 보고 넘겨서 미처 신경 쓰지 않는 것"", ""상황을 살펴보고 필요한 일을 하는 것"", ""스스로 결정하지 못하고 다른 것에 딸려 따르는 것""]",4,"{""correct_option"": 4}",'종속'은 '스스로 결정하지 못하고 다른 것에 딸려 따르는 것'이라는 뜻입니다.,"[{""option_no"": 1, ""distractor_lemma"": ""하위"", ""distractor_content_id"": ""SR_L4CORE_4825"", ""reason"": ""이 설명은 '종속'이 아니라 '하위'의 뜻이다(지위나 등급, 위치가 더 낮은 쪽). '종속'(스스로 결정하지 못하고 다른 것에 딸려 따르는 것)과 의미 영역이 다르므로 오답이다.""}, {""option_no"": 2, ""distractor_lemma"": ""간과"", ""distractor_content_id"": ""SR_L4CORE_4749"", ""reason"": ""이 설명은 '종속'이 아니라 '간과'의 뜻이다(중요한 것을 대충 보고 넘겨서 미처 신경 쓰지 않는 것). '종속'(스스로 결정하지 못하고 다른 것에 딸려 따르는 것)과 의미 영역이 다르므로 오답이다.""}, {""option_no"": 3, ""distractor_lemma"": ""조치"", ""distractor_content_id"": ""SR_L4CORE_4794"", ""reason"": ""이 설명은 '종속'이 아니라 '조치'의 뜻이다(상황을 살펴보고 필요한 일을 하는 것). '종속'(스스로 결정하지 못하고 다른 것에 딸려 따르는 것)과 의미 영역이 다르므로 오답이다.""}]",schema_reading_l4l5_pilot_dryrun_v1,"관리자 검토용 초안 (전문가 검수 완료 아님) - V항목, phase15 AUTO_PASS 기반",,PASS,-
MF_C_SC_SRL4L5PILOT_20260925_L4_004,MF_C_SC_SRL4L5PILOT_20260925_L4_004,CONTEXT_MEANING,SR_L4CORE_4796,4796,종속,명사,4,"다음 문장에서 표시된 낱말의 뜻으로 가장 알맞은 것은?

그 조직은 본부에 【종속되어】 중요한 일을 혼자 결정할 수 없습니다.","[""지위나 등급, 위치가 더 낮은 쪽"", ""중요한 것을 대충 보고 넘겨서 미처 신경 쓰지 않는 것"", ""상황을 살펴보고 필요한 일을 하는 것"", ""스스로 결정하지 못하고 다른 것에 딸려 따르는 것""]",4,"{""correct_option"": 4}",문장 속 '종속되어'는 '스스로 결정하지 못하고 다른 것에 딸려 따르는 것'을 뜻합니다.,"[{""option_no"": 1, ""distractor_lemma"": ""하위"", ""distractor_content_id"": ""SR_L4CORE_4825"", ""reason"": ""이 설명은 '종속'이 아니라 '하위'의 뜻이다(지위나 등급, 위치가 더 낮은 쪽). '종속'(스스로 결정하지 못하고 다른 것에 딸려 따르는 것)과 의미 영역이 다르므로 오답이다.""}, {""option_no"": 2, ""distractor_lemma"": ""간과"", ""distractor_content_id"": ""SR_L4CORE_4749"", ""reason"": ""이 설명은 '종속'이 아니라 '간과'의 뜻이다(중요한 것을 대충 보고 넘겨서 미처 신경 쓰지 않는 것). '종속'(스스로 결정하지 못하고 다른 것에 딸려 따르는 것)과 의미 영역이 다르므로 오답이다.""}, {""option_no"": 3, ""distractor_lemma"": ""조치"", ""distractor_content_id"": ""SR_L4CORE_4794"", ""reason"": ""이 설명은 '종속'이 아니라 '조치'의 뜻이다(상황을 살펴보고 필요한 일을 하는 것). '종속'(스스로 결정하지 못하고 다른 것에 딸려 따르는 것)과 의미 영역이 다르므로 오답이다.""}]",schema_reading_l4l5_pilot_dryrun_v1,"관리자 검토용 초안 (전문가 검수 완료 아님) - V항목, phase15 AUTO_PASS 기반",,PASS,-
MF_A_SC_SRL4L5PILOT_20260925_L4_005,MF_A_SC_SRL4L5PILOT_20260925_L4_005,MEANING_CHOICE,SR_L4CORE_4827,4827,합성,명사,4,'합성'의 뜻으로 가장 알맞은 것은?,"[""둘 이상의 것을 합쳐 하나로 만드는 것"", ""같은 것이 거듭되거나 서로 겹치는 것"", ""무엇이 있거나 어떤 일이 일어날 수 있는 자리나 빈 곳"", ""여러 사람이 모여 이룬 무리""]",1,"{""correct_option"": 1}",'합성'은 '둘 이상의 것을 합쳐 하나로 만드는 것'이라는 뜻입니다.,"[{""option_no"": 2, ""distractor_lemma"": ""중복"", ""distractor_content_id"": ""SR_L4CORE_4801"", ""reason"": ""이 설명은 '합성'이 아니라 '중복'의 뜻이다(같은 것이 거듭되거나 서로 겹치는 것). '합성'(둘 이상의 것을 합쳐 하나로 만드는 것)과 의미 영역이 다르므로 오답이다.""}, {""option_no"": 3, ""distractor_lemma"": ""공간"", ""distractor_content_id"": ""SR_L4CORE_4750"", ""reason"": ""이 설명은 '합성'이 아니라 '공간'의 뜻이다(무엇이 있거나 어떤 일이 일어날 수 있는 자리나 빈 곳). '합성'(둘 이상의 것을 합쳐 하나로 만드는 것)과 의미 영역이 다르므로 오답이다.""}, {""option_no"": 4, ""distractor_lemma"": ""집단"", ""distractor_content_id"": ""SR_L4CORE_4812"", ""reason"": ""이 설명은 '합성'이 아니라 '집단'의 뜻이다(여러 사람이 모여 이룬 무리). '합성'(둘 이상의 것을 합쳐 하나로 만드는 것)과 의미 영역이 다르므로 오답이다.""}]",schema_reading_l4l5_pilot_dryrun_v1,"관리자 검토용 초안 (전문가 검수 완료 아님) - V항목, phase15 AUTO_PASS 기반",,PASS,-
MF_C_SC_SRL4L5PILOT_20260925_L4_005,MF_C_SC_SRL4L5PILOT_20260925_L4_005,CONTEXT_MEANING,SR_L4CORE_4827,4827,합성,명사,4,"다음 문장에서 표시된 낱말의 뜻으로 가장 알맞은 것은?

미술 시간에는 여러 사진을 【합성하여】 새로운 장면을 만들었습니다.","[""둘 이상의 것을 합쳐 하나로 만드는 것"", ""같은 것이 거듭되거나 서로 겹치는 것"", ""무엇이 있거나 어떤 일이 일어날 수 있는 자리나 빈 곳"", ""여러 사람이 모여 이룬 무리""]",1,"{""correct_option"": 1}",문장 속 '합성하여'는 '둘 이상의 것을 합쳐 하나로 만드는 것'을 뜻합니다.,"[{""option_no"": 2, ""distractor_lemma"": ""중복"", ""distractor_content_id"": ""SR_L4CORE_4801"", ""reason"": ""이 설명은 '합성'이 아니라 '중복'의 뜻이다(같은 것이 거듭되거나 서로 겹치는 것). '합성'(둘 이상의 것을 합쳐 하나로 만드는 것)과 의미 영역이 다르므로 오답이다.""}, {""option_no"": 3, ""distractor_lemma"": ""공간"", ""distractor_content_id"": ""SR_L4CORE_4750"", ""reason"": ""이 설명은 '합성'이 아니라 '공간'의 뜻이다(무엇이 있거나 어떤 일이 일어날 수 있는 자리나 빈 곳). '합성'(둘 이상의 것을 합쳐 하나로 만드는 것)과 의미 영역이 다르므로 오답이다.""}, {""option_no"": 4, ""distractor_lemma"": ""집단"", ""distractor_content_id"": ""SR_L4CORE_4812"", ""reason"": ""이 설명은 '합성'이 아니라 '집단'의 뜻이다(여러 사람이 모여 이룬 무리). '합성'(둘 이상의 것을 합쳐 하나로 만드는 것)과 의미 영역이 다르므로 오답이다.""}]",schema_reading_l4l5_pilot_dryrun_v1,"관리자 검토용 초안 (전문가 검수 완료 아님) - V항목, phase15 AUTO_PASS 기반",,PASS,-
