item_id,item_type,content_id,lemma,literacy_term_id,content_source_version,auto_validation_status,semantic_verdict,final_status,hold_reason
MF_A_SC_SRL6PILOT_20260927_L6_001,MEANING_CHOICE,SR_L6CORE_4942,아이디어,4942,schema_reading_literacy_l6_manual_v1,PASS,SEMANTIC_PASS,PASS,
MF_C_SC_SRL6PILOT_20260927_L6_001,CONTEXT_MEANING,SR_L6CORE_4942,아이디어,4942,schema_reading_literacy_l6_manual_v1,PASS,SEMANTIC_PASS,PASS,
MF_A_SC_SRL6PILOT_20260927_L6_002,MEANING_CHOICE,SR_L6CORE_4943,야기,4943,schema_reading_literacy_l6_manual_v1,PASS,SEMANTIC_PASS,PASS,
MF_C_SC_SRL6PILOT_20260927_L6_002,CONTEXT_MEANING,SR_L6CORE_4943,야기,4943,schema_reading_literacy_l6_manual_v1,PASS,SEMANTIC_PASS,PASS,
MF_A_SC_SRL6PILOT_20260927_L6_003,MEANING_CHOICE,SR_L6CORE_4944,엄밀,4944,schema_reading_literacy_l6_manual_v1,PASS,SEMANTIC_PASS,PASS,
MF_C_SC_SRL6PILOT_20260927_L6_003,CONTEXT_MEANING,SR_L6CORE_4944,엄밀,4944,schema_reading_literacy_l6_manual_v1,PASS,SEMANTIC_PASS,PASS,
MF_A_SC_SRL6PILOT_20260927_L6_004,MEANING_CHOICE,SR_L6CORE_4945,오류,4945,schema_reading_literacy_l6_manual_v1,PASS,SEMANTIC_PASS,PASS,
MF_C_SC_SRL6PILOT_20260927_L6_004,CONTEXT_MEANING,SR_L6CORE_4945,오류,4945,schema_reading_literacy_l6_manual_v1,PASS,SEMANTIC_PASS,PASS,
MF_A_SC_SRL6PILOT_20260927_L6_005,MEANING_CHOICE,SR_L6CORE_4946,완결,4946,schema_reading_literacy_l6_manual_v1,PASS,SEMANTIC_PASS,PASS,
MF_C_SC_SRL6PILOT_20260927_L6_005,CONTEXT_MEANING,SR_L6CORE_4946,완결,4946,schema_reading_literacy_l6_manual_v1,PASS,SEMANTIC_PASS,PASS,
MF_A_SC_SRL6PILOT_20260927_L6_006,MEANING_CHOICE,SR_L6CORE_4947,왜곡,4947,schema_reading_literacy_l6_manual_v1,PASS,SEMANTIC_PASS,PASS,
MF_C_SC_SRL6PILOT_20260927_L6_006,CONTEXT_MEANING,SR_L6CORE_4947,왜곡,4947,schema_reading_literacy_l6_manual_v1,PASS,SEMANTIC_PASS,PASS,
MF_A_SC_SRL6PILOT_20260927_L6_007,MEANING_CHOICE,SR_L6CORE_4948,용이,4948,schema_reading_literacy_l6_manual_v1,PASS,SEMANTIC_PASS,PASS,
MF_C_SC_SRL6PILOT_20260927_L6_007,CONTEXT_MEANING,SR_L6CORE_4948,용이,4948,schema_reading_literacy_l6_manual_v1,PASS,SEMANTIC_PASS,PASS,
MF_A_SC_SRL6PILOT_20260927_L6_008,MEANING_CHOICE,SR_L6CORE_4950,운용,4950,schema_reading_literacy_l6_manual_v1,PASS,SEMANTIC_PASS,PASS,
MF_C_SC_SRL6PILOT_20260927_L6_008,CONTEXT_MEANING,SR_L6CORE_4950,운용,4950,schema_reading_literacy_l6_manual_v1,PASS,SEMANTIC_PASS,PASS,
MF_A_SC_SRL6PILOT_20260927_L6_009,MEANING_CHOICE,SR_L6CORE_4951,위계,4951,schema_reading_literacy_l6_manual_v1,PASS,SEMANTIC_PASS,PASS,
MF_C_SC_SRL6PILOT_20260927_L6_009,CONTEXT_MEANING,SR_L6CORE_4951,위계,4951,schema_reading_literacy_l6_manual_v1,PASS,SEMANTIC_PASS,PASS,
MF_A_SC_SRL6PILOT_20260927_L6_010,MEANING_CHOICE,SR_L6CORE_4953,의지,4953,schema_reading_literacy_l6_manual_v1,PASS,SEMANTIC_PASS,PASS,
MF_C_SC_SRL6PILOT_20260927_L6_010,CONTEXT_MEANING,SR_L6CORE_4953,의지,4953,schema_reading_literacy_l6_manual_v1,PASS,SEMANTIC_PASS,PASS,
MF_A_SC_SRL6PILOT_20260927_L6_011,MEANING_CHOICE,SR_L6CORE_4955,일괄,4955,schema_reading_literacy_l6_manual_v1,PASS,SEMANTIC_PASS,PASS,
MF_C_SC_SRL6PILOT_20260927_L6_011,CONTEXT_MEANING,SR_L6CORE_4955,일괄,4955,schema_reading_literacy_l6_manual_v1,PASS,SEMANTIC_PASS,PASS,
MF_A_SC_SRL6PILOT_20260927_L6_012,MEANING_CHOICE,SR_L6CORE_4956,자발적,4956,schema_reading_literacy_l6_manual_v1,PASS,SEMANTIC_PASS,PASS,
MF_C_SC_SRL6PILOT_20260927_L6_012,CONTEXT_MEANING,SR_L6CORE_4956,자발적,4956,schema_reading_literacy_l6_manual_v1,PASS,SEMANTIC_PASS,PASS,
MF_A_SC_SRL6PILOT_20260927_L6_013,MEANING_CHOICE,SR_L6CORE_4957,자아,4957,schema_reading_literacy_l6_manual_v1,PASS,SEMANTIC_PASS,PASS,
MF_C_SC_SRL6PILOT_20260927_L6_013,CONTEXT_MEANING,SR_L6CORE_4957,자아,4957,schema_reading_literacy_l6_manual_v1,PASS,SEMANTIC_PASS,PASS,
MF_A_SC_SRL6PILOT_20260927_L6_014,MEANING_CHOICE,SR_L6CORE_4958,잠정,4958,schema_reading_literacy_l6_manual_v1,PASS,SEMANTIC_PASS,PASS,
MF_C_SC_SRL6PILOT_20260927_L6_014,CONTEXT_MEANING,SR_L6CORE_4958,잠정,4958,schema_reading_literacy_l6_manual_v1,PASS,SEMANTIC_PASS,PASS,
MF_A_SC_SRL6PILOT_20260927_L6_015,MEANING_CHOICE,SR_L6COREV2_4959,전면,4959,schema_reading_literacy_l6_manual_v2,PASS,SEMANTIC_PASS,PASS,
MF_C_SC_SRL6PILOT_20260927_L6_015,CONTEXT_MEANING,SR_L6COREV2_4959,전면,4959,schema_reading_literacy_l6_manual_v2,PASS,SEMANTIC_PASS,PASS,
MF_A_SC_SRL6PILOT_20260927_L6_016,MEANING_CHOICE,SR_L6CORE_4960,전이,4960,schema_reading_literacy_l6_manual_v1,PASS,SEMANTIC_PASS,PASS,
MF_C_SC_SRL6PILOT_20260927_L6_016,CONTEXT_MEANING,SR_L6CORE_4960,전이,4960,schema_reading_literacy_l6_manual_v1,PASS,SEMANTIC_PASS,PASS,
MF_A_SC_SRL6PILOT_20260927_L6_017,MEANING_CHOICE,SR_L6CORE_4961,전제,4961,schema_reading_literacy_l6_manual_v1,PASS,SEMANTIC_PASS,PASS,
MF_C_SC_SRL6PILOT_20260927_L6_017,CONTEXT_MEANING,SR_L6CORE_4961,전제,4961,schema_reading_literacy_l6_manual_v1,PASS,SEMANTIC_PASS,PASS,
MF_A_SC_SRL6PILOT_20260927_L6_018,MEANING_CHOICE,SR_L6CORE_4962,전형적,4962,schema_reading_literacy_l6_manual_v1,PASS,SEMANTIC_PASS,PASS,
MF_C_SC_SRL6PILOT_20260927_L6_018,CONTEXT_MEANING,SR_L6CORE_4962,전형적,4962,schema_reading_literacy_l6_manual_v1,PASS,SEMANTIC_PASS,PASS,
MF_A_SC_SRL6PILOT_20260927_L6_019,MEANING_CHOICE,SR_L6CORE_4964,창출,4964,schema_reading_literacy_l6_manual_v1,PASS,SEMANTIC_PASS,PASS,
MF_C_SC_SRL6PILOT_20260927_L6_019,CONTEXT_MEANING,SR_L6CORE_4964,창출,4964,schema_reading_literacy_l6_manual_v1,PASS,SEMANTIC_PASS,PASS,
MF_A_SC_SRL6PILOT_20260927_L6_020,MEANING_CHOICE,SR_L6CORE_4965,체재,4965,schema_reading_literacy_l6_manual_v1,PASS,SEMANTIC_PASS,PASS,
MF_C_SC_SRL6PILOT_20260927_L6_020,CONTEXT_MEANING,SR_L6CORE_4965,체재,4965,schema_reading_literacy_l6_manual_v1,PASS,SEMANTIC_PASS,PASS,
