literacy_term_id,v_s,source,headword,pos,definition,sense_category,subject_category,note_raw,grade_level_raw,grade_source_raw,grade_evidence_strength,review_status_raw,ai_tagged,external_id,lower_level_match_count,lower_level_match_detail,reuse_check,homonym_numeric_suffix,caution,final_classification,classification_reason,proposed_first_l6_batch
6018,S,schemareading-schema,죄형법정주의,,"어떤 행위가 범죄인가 아닌가, 또는 그 범죄에 대하여 어떤 형벌을 내릴 것인가 하는 것은 법률에 의해서만 정할 수 있다는 원칙. 형벌권의 자의적 행사를 방지하는 인권 보장의 표상이며, 근대 자유주의 형법의 기본 원칙이다.",법,사회,소분류: 형법 / 주차: 18주차,,manual,"POLICY_MAPPING_ONLY(개별 학년 태그 없음, level=6→L6 정책 매핑에만 의존)",검수전,N,social-1058,0,,"NO_MATCH(exact lemma vs vocabulary_contents 5,820)",N,,NEW_CANDIDATE,"통합사회/법과정치 교과에서 폭넓게 다뤄지는 기초 법 개념으로 판단, 정의 원문 그대로 사용 가능",Y
6019,S,schemareading-schema,범죄,,법규를 어기고 저지른 잘못.,법,사회,소분류: 형법 / 주차: 18주차,,manual,"POLICY_MAPPING_ONLY(개별 학년 태그 없음, level=6→L6 정책 매핑에만 의존)",검수전,N,social-1059,0,,"NO_MATCH(exact lemma vs vocabulary_contents 5,820)",N,,NEW_CANDIDATE,"통합사회/법과정치 교과에서 폭넓게 다뤄지는 기초 법 개념으로 판단, 정의 원문 그대로 사용 가능",Y
6020,S,schemareading-schema,위법성조각사유,,"형식적으로는 범죄 행위나 불법 행위로서의 조건을 갖추고 있어도 실질적으로는 위법이 아니라고 인정할 만한 특별한 사유. 형법에서는 정당 행위, 정당방위, 긴급 피난 따위를 규정하고 있다.",법,사회,소분류: 형법 / 주차: 18주차,,manual,"POLICY_MAPPING_ONLY(개별 학년 태그 없음, level=6→L6 정책 매핑에만 의존)",검수전,N,social-1060,0,,"NO_MATCH(exact lemma vs vocabulary_contents 5,820)",N,,HOLD,"선택과목(법과 정치) 심화 절차·제도 전문용어로 일반 고2~3 스키마리딩 어휘 범위를 초과 - phase9/10의 인문철학 L4/L5 제외 논리를 이번 세션이 L6에 동일 적용(신규 판단, 재인용 아님)",
6021,S,schemareading-schema,형벌,,범죄에 대한 법률의 효과로서 국가 따위가 범죄자에게 제재를 가함. 또는 그 제재.,법,사회,소분류: 형법 / 주차: 18주차,,manual,"POLICY_MAPPING_ONLY(개별 학년 태그 없음, level=6→L6 정책 매핑에만 의존)",검수전,N,social-1061,0,,"NO_MATCH(exact lemma vs vocabulary_contents 5,820)",N,,NEW_CANDIDATE,"통합사회/법과정치 교과에서 폭넓게 다뤄지는 기초 법 개념으로 판단, 정의 원문 그대로 사용 가능",Y
6022,S,schemareading-schema,형벌의 종류,,"형벌에는 박탈되는 법익의 종류에 따라 생명형 ·신체형 ·자유형 ·명예형 ·재산형 등으로 구별되는데, 한국 형법은 생명형인 사형, 자유형인 징역 ·금고 ·구류, 재산형인 벌금 ·과료 ·몰수, 명예형인 자격상실 ·자격정지의 9가지를 인정하고 있다.",법,사회,소분류: 형법 / 주차: 18주차,,manual,"POLICY_MAPPING_ONLY(개별 학년 태그 없음, level=6→L6 정책 매핑에만 의존)",검수전,N,social-1062,0,,"NO_MATCH(exact lemma vs vocabulary_contents 5,820)",N,,HOLD,"선택과목(법과 정치) 심화 절차·제도 전문용어로 일반 고2~3 스키마리딩 어휘 범위를 초과 - phase9/10의 인문철학 L4/L5 제외 논리를 이번 세션이 L6에 동일 적용(신규 판단, 재인용 아님)",
6023,S,schemareading-schema,보안처분,,범인이 다시 범행할 위험을 막기 위하여 행하는 개선 교육이나 보호 그 밖의 처분.,법,사회,소분류: 형법 / 주차: 18주차,,manual,"POLICY_MAPPING_ONLY(개별 학년 태그 없음, level=6→L6 정책 매핑에만 의존)",검수전,N,social-1063,0,,"NO_MATCH(exact lemma vs vocabulary_contents 5,820)",N,,HOLD,"선택과목(법과 정치) 심화 절차·제도 전문용어로 일반 고2~3 스키마리딩 어휘 범위를 초과 - phase9/10의 인문철학 L4/L5 제외 논리를 이번 세션이 L6에 동일 적용(신규 판단, 재인용 아님)",
6024,S,schemareading-schema,형사절차,,수사 절차와 공소 절차로 되어 있는 공소 전 절차와 판결 절차와 집행 절차로 나누어진 공소 후 절차를 포괄하는 절차.,법,사회,소분류: 형법 / 주차: 18주차,,manual,"POLICY_MAPPING_ONLY(개별 학년 태그 없음, level=6→L6 정책 매핑에만 의존)",검수전,N,social-1064,0,,"NO_MATCH(exact lemma vs vocabulary_contents 5,820)",N,,HOLD,"선택과목(법과 정치) 심화 절차·제도 전문용어로 일반 고2~3 스키마리딩 어휘 범위를 초과 - phase9/10의 인문철학 L4/L5 제외 논리를 이번 세션이 L6에 동일 적용(신규 판단, 재인용 아님)",
6025,S,schemareading-schema,수사,,범죄의 혐의 유무를 명백히 하여 공소의 제기와 유지 여부를 결정하기 위하여서 범인을 발견ㆍ확보하고 증거를 수집ㆍ보전하는 수사 기관의 활동.,법,사회,소분류: 형법 / 주차: 18주차,,manual,"POLICY_MAPPING_ONLY(개별 학년 태그 없음, level=6→L6 정책 매핑에만 의존)",검수전,N,social-1065,0,,"NO_MATCH(exact lemma vs vocabulary_contents 5,820)",N,,HOLD,"선택과목(법과 정치) 심화 절차·제도 전문용어로 일반 고2~3 스키마리딩 어휘 범위를 초과 - phase9/10의 인문철학 L4/L5 제외 논리를 이번 세션이 L6에 동일 적용(신규 판단, 재인용 아님)",
6026,S,schemareading-schema,공소제기,,검사가 법원에 특정 형사 사건의 재판을 청구하여 소송을 일으킴. 또는 그런 일.,법,사회,소분류: 형법 / 주차: 18주차,,manual,"POLICY_MAPPING_ONLY(개별 학년 태그 없음, level=6→L6 정책 매핑에만 의존)",검수전,N,social-1066,0,,"NO_MATCH(exact lemma vs vocabulary_contents 5,820)",N,,HOLD,"선택과목(법과 정치) 심화 절차·제도 전문용어로 일반 고2~3 스키마리딩 어휘 범위를 초과 - phase9/10의 인문철학 L4/L5 제외 논리를 이번 세션이 L6에 동일 적용(신규 판단, 재인용 아님)",
6027,S,schemareading-schema,재정신청,,"검사가 고소 사건이나 고발 사건에 대하여 독단적으로 불기소 결정을 내렸을 때에, 그 결정에 불복하는 고소. 10일 이내에 그 결정을 내린 검사가 소속된 고등 검찰청과 그에 대응하는 고등 법원에 그 결정의 옳고 그름을 묻는다.",법,사회,소분류: 형법 / 주차: 18주차,,manual,"POLICY_MAPPING_ONLY(개별 학년 태그 없음, level=6→L6 정책 매핑에만 의존)",검수전,N,social-1067,0,,"NO_MATCH(exact lemma vs vocabulary_contents 5,820)",N,,HOLD,"선택과목(법과 정치) 심화 절차·제도 전문용어로 일반 고2~3 스키마리딩 어휘 범위를 초과 - phase9/10의 인문철학 L4/L5 제외 논리를 이번 세션이 L6에 동일 적용(신규 판단, 재인용 아님)",
