literacy_term_id,v_s,source,lemma,pos,canonical_definition,student_definition,example_sentence,example_target_form,reuse_check,final_classification,caution,hold_reason,content_id,vocab_level,level_status
4959,V,schemareading-tooldict,전면,명사,물체의 앞쪽 면.,물체의 앞쪽에 있는 면,건물의 전면에는 큰 유리창이 나 있다.,전면에는,"NO_MATCH(exact lemma vs vocabulary_contents 5,820)",NEW_PRIVATE_LOADABLE,'이면'(뒷면)과 정반대 의미의 대비 짝(앞면/뒷면) - 동시 출제 시 구분 문구 권장.,,SR_L6COREV2_4959,6,REVIEW_BOUNDARY
4971,V,schemareading-tooldict,통찰,명사,예리한 관찰력으로 사물을 꿰뚫어 봄.,예리한 관찰력으로 사물의 본질을 꿰뚫어 봄,그는 오랜 경험에서 나온 통찰로 문제의 핵심을 짚어냈다.,통찰로,"NO_MATCH(exact lemma vs vocabulary_contents 5,820)",NEW_PRIVATE_LOADABLE,"'고찰'과 의미 인접(둘 다 '깊이 살펴봄' 계열) - 혼동 가능, 구분 문구 권장.",,SR_L6COREV2_4971,6,REVIEW_BOUNDARY
4976,V,schemareading-tooldict,객관성,명사,주관으로부터 독립하여 존재하는 대상 자체에 속하여 있는 성질.,보는 사람의 주관에서 벗어나 대상 자체에 속해 있는 성질,이 연구는 객관성을 확보하기 위해 여러 차례 검증을 거쳤다.,객관성을,"NO_MATCH(exact lemma vs vocabulary_contents 5,820)",NEW_PRIVATE_LOADABLE,'객관적'과 같은 어근('객관')의 명사/관형사 파생쌍 - 같은 세트 출제 시 개념 중복 위험.,,SR_L6COREV2_4976,6,REVIEW_BOUNDARY
4977,V,schemareading-tooldict,객관적,명사,자기와의 관계에서 벗어나 제삼자의 입장에서 사물을 보거나 생각하는 것.,자기 입장에서 벗어나 제삼자의 입장에서 사물을 보거나 생각하는 것,그는 감정을 배제하고 객관적으로 상황을 분석했다.,객관적으로,"NO_MATCH(exact lemma vs vocabulary_contents 5,820)",NEW_PRIVATE_LOADABLE,'객관성'과 같은 어근('객관')의 명사/관형사 파생쌍 - 같은 세트 출제 시 개념 중복 위험.,,SR_L6COREV2_4977,6,REVIEW_BOUNDARY
4982,V,schemareading-tooldict,고찰,명사,어떤 것을 깊이 생각하고 연구함.,어떤 것을 깊이 생각하고 연구함,이 논문은 전통 문화에 대한 깊이 있는 고찰을 담고 있다.,고찰을,"NO_MATCH(exact lemma vs vocabulary_contents 5,820)",NEW_PRIVATE_LOADABLE,"'통찰'과 의미 인접(둘 다 '깊이 살펴봄' 계열) - 혼동 가능, 구분 문구 권장.",,SR_L6COREV2_4982,6,REVIEW_BOUNDARY
4990,V,schemareading-tooldict,기호성,명사,즐기고 좋아하는 성질이나 특성.,즐기고 좋아하는 성질이나 특성,이 간식은 아이들의 기호성을 고려해 달콤하게 만들어졌다.,기호성을,"NO_MATCH(exact lemma vs vocabulary_contents 5,820)",NEW_PRIVATE_LOADABLE,,,SR_L6COREV2_4990,6,REVIEW_BOUNDARY
4992,V,schemareading-tooldict,논증,명사,옳고 그름을 이유를 들어 밝힘. 또는 그 근거나 이유.,옳고 그름을 이유를 들어 밝힘. 또는 그렇게 밝히는 근거나 이유,그는 자신의 주장을 뒷받침할 논증을 차례로 제시했다.,논증을,"NO_MATCH(exact lemma vs vocabulary_contents 5,820)",NEW_PRIVATE_LOADABLE,"이번 배치 내 '논지'·'논하다', 기존 콘텐츠 '논거'·'논술'(둘 다 SR_L5CORE)과 같은 '논-' 계열 어휘 세트 - 개념은 각각 다르나(논증=근거로 입증하는 행위, 논거=그 근거, 논지=글의 요지, 논술=글로 논하는 방식, 논하다=말하거나 쓰는 행위) 동시 학습·출제 시 구분 문구 권장.",,SR_L6COREV2_4992,6,REVIEW_BOUNDARY
4993,V,schemareading-tooldict,논지,명사,논하는 말이나 글의 취지.,논하는 말이나 글의 중심이 되는 취지,발표자는 논지를 흐리지 않고 핵심만 간결하게 전달했다.,논지를,"NO_MATCH(exact lemma vs vocabulary_contents 5,820)",NEW_PRIVATE_LOADABLE,'논-' 계열 어휘 세트(위 '논증' 항목 참고) - 동시 출제 시 구분 문구 권장.,,SR_L6COREV2_4993,6,REVIEW_BOUNDARY
4994,V,schemareading-tooldict,논하다,동사,의견이나 이론을 조리 있게 말하다.,의견이나 이론을 조리 있게 말하다,학자들은 이 문제를 놓고 열띠게 논했다.,논했다,"NO_MATCH(exact lemma vs vocabulary_contents 5,820)",NEW_PRIVATE_LOADABLE,'논-' 계열 어휘 세트(위 '논증' 항목 참고) - 동시 출제 시 구분 문구 권장.,,SR_L6COREV2_4994,6,REVIEW_BOUNDARY
4995,V,schemareading-tooldict,매커니즘,명사,사물의 작용 원리나 구조.,,,,"NO_MATCH(exact lemma vs vocabulary_contents 5,820)",HOLD,,표제어 표기가 literacy.db 원문 '매커니즘'과 현행 외래어 표기법상 표준 '메커니즘'이 달라 어느 표기로 적재할지 근거가 확정되지 않음 - 표기 처리 방침(원문 유지 vs 표준 교정) 결정 전까지 HOLD.,,,
4996,V,schemareading-tooldict,명확성,명사,명백하고 확실한 성질.,명백하고 확실한 성질,계약서는 조항의 명확성을 위해 여러 번 검토되었다.,명확성을,"NO_MATCH(exact lemma vs vocabulary_contents 5,820)",NEW_PRIVATE_LOADABLE,,,SR_L6COREV2_4996,6,REVIEW_BOUNDARY
4997,V,schemareading-tooldict,반문,명사,물음에 대답하지 아니하고 되받아 물음. 또는 그 물음.,물음에 대답하지 않고 되받아서 물음. 또는 그 물음,그는 질문에 답하는 대신 반문으로 되받았다.,반문으로,"NO_MATCH(exact lemma vs vocabulary_contents 5,820)",NEW_PRIVATE_LOADABLE,,,SR_L6COREV2_4997,6,REVIEW_BOUNDARY
4998,V,schemareading-tooldict,배타,명사,남을 배척함.,남을 배척함,지나친 배타는 공동체의 화합을 해칠 수 있다.,배타는,"NO_MATCH(exact lemma vs vocabulary_contents 5,820)",NEW_PRIVATE_LOADABLE,,,SR_L6COREV2_4998,6,REVIEW_BOUNDARY
4999,V,schemareading-tooldict,범주,명사,동일한 성질을 가진 부류나 범위.,동일한 성질을 가진 것들을 묶은 부류나 범위,이 작품은 순수 문학의 범주에 속한다.,범주에,"NO_MATCH(exact lemma vs vocabulary_contents 5,820)",NEW_PRIVATE_LOADABLE,,,SR_L6COREV2_4999,6,REVIEW_BOUNDARY
5000,V,schemareading-tooldict,법칙,명사,반드시 지켜야만 하는 규범.,반드시 지켜야만 하는 규범,만유인력은 자연계를 지배하는 법칙 중 하나이다.,법칙,"NO_MATCH(exact lemma vs vocabulary_contents 5,820)",NEW_PRIVATE_LOADABLE,,,SR_L6COREV2_5000,6,REVIEW_BOUNDARY
5001,V,schemareading-tooldict,분절성,명사,"언어에서, 여러 단위로 나누어지고 결합할 수 있는 특성. 또는 연속적으로 이루어져 있는 세계를 불연속적으로 끊어서 표현하는 특성. 경계가 분명하지 않은 무지개의 색깔을 일곱 개의 색깔로 끊어서 표현하는 것 따위이다.",언어가 여러 단위로 나뉘고 다시 결합할 수 있는 특성. 경계가 분명하지 않은 세계를 불연속적인 단위로 끊어서 표현하는 언어의 특성,경계가 뚜렷하지 않은 무지개색을 일곱 가지로 나누어 부르는 것은 언어의 분절성을 보여 주는 예이다.,분절성을,"NO_MATCH(exact lemma vs vocabulary_contents 5,820)",NEW_PRIVATE_LOADABLE,언어학 전문 개념(언어의 자의성·분절성 등 언어 특성 논의)이라 일반 문맥에서는 쓰임이 드묾 - 원천 정의의 예시(무지개 색깔)를 예문에 그대로 반영해 의미 범위를 벗어나지 않게 함.,,SR_L6COREV2_5001,6,REVIEW_BOUNDARY
5002,V,schemareading-tooldict,신장,명사,세력이나 권리 따위가 늘어남. 또는 늘어나게 함.,,,,"NO_MATCH(exact lemma vs vocabulary_contents 5,820)",HOLD,,"동형이의어 '신장'(伸張/伸長: 세력·권리가 늘어남[literacy.db 정의] / 腎臟: 콩팥 / 身長: 키)의 목표 뜻이 확정되지 않음. literacy.db 항목 자체는 '세력·권리 확장' 하나뿐이라 DB 내부 충돌은 없으나, 일상어에서 '콩팥'·'키' 의미가 훨씬 흔히 쓰여 '이성'과 동일한 수준의 외부 동형이의 혼동 위험이 있어 목표 뜻이 확정될 때까지 HOLD(사용자 지시의 '뜻 범위가 불명확하면 추가 HOLD' 조항을 '이성'과 동일 기준으로 적용).",,,
5003,V,schemareading-tooldict,실재,명사,실제로 존재함.,실제로 존재함,이 소설 속 배경은 실재하는 마을을 바탕으로 했다.,실재하는,"NO_MATCH(exact lemma vs vocabulary_contents 5,820)",NEW_PRIVATE_LOADABLE,"'실질'과 의미 인접('실제로 존재/실제 본바탕') - 혼동 가능, 구분 문구 권장.",,SR_L6COREV2_5003,6,REVIEW_BOUNDARY
5004,V,schemareading-tooldict,실증,명사,확실한 증거.,확실한 증거,그는 자신의 주장을 뒷받침할 실증 자료를 제시했다.,실증,"NO_MATCH(exact lemma vs vocabulary_contents 5,820)",NEW_PRIVATE_LOADABLE,,,SR_L6COREV2_5004,6,REVIEW_BOUNDARY
5005,V,schemareading-tooldict,실질,명사,실제로 있는 본바탕.,실제로 있는 본바탕,명목상의 대표가 아니라 실질을 갖춘 대표가 필요하다.,실질을,"NO_MATCH(exact lemma vs vocabulary_contents 5,820)",NEW_PRIVATE_LOADABLE,"'실재'와 의미 인접('실제로 존재/실제 본바탕') - 혼동 가능, 구분 문구 권장.",,SR_L6COREV2_5005,6,REVIEW_BOUNDARY
5006,V,schemareading-tooldict,심층,명사,사물의 속이나 밑에 있는 깊은 층.,사물의 속이나 밑에 있는 깊은 층,기자는 사건의 심층을 파헤치는 취재를 이어 갔다.,심층을,"NO_MATCH(exact lemma vs vocabulary_contents 5,820)",NEW_PRIVATE_LOADABLE,,,SR_L6COREV2_5006,6,REVIEW_BOUNDARY
5007,V,schemareading-tooldict,아래,명사,어떤 기준보다 낮은 위치.,어떤 기준보다 낮은 위치,평균 기온이 예년보다 아래로 떨어졌다.,아래로,"NO_MATCH(exact lemma vs vocabulary_contents 5,820)",NEW_PRIVATE_LOADABLE,,,SR_L6COREV2_5007,6,REVIEW_BOUNDARY
5008,V,schemareading-tooldict,암시,명사,넌지시 알림. 또는 그 내용. 뜻하는 바를 간접적으로 나타내는 표현법.,넌지시 알림. 또는 그 내용. 뜻하는 바를 간접적으로 나타내는 표현 방법,작가는 결말을 직접 말하지 않고 암시로 처리했다.,암시로,"NO_MATCH(exact lemma vs vocabulary_contents 5,820)",NEW_PRIVATE_LOADABLE,,,SR_L6COREV2_5008,6,REVIEW_BOUNDARY
5010,V,schemareading-tooldict,양극화,명사,서로 점점 더 달라지고 멀어짐.,서로 점점 더 달라지고 멀어짐,소득 격차로 계층 간 양극화가 심해지고 있다.,양극화가,"NO_MATCH(exact lemma vs vocabulary_contents 5,820)",NEW_PRIVATE_LOADABLE,,,SR_L6COREV2_5010,6,REVIEW_BOUNDARY
5011,V,schemareading-tooldict,양상,명사,사물이나 현상의 모양이나 상태.,사물이나 현상이 겉으로 드러난 모양이나 상태,전염병 확산 양상이 지역마다 다르게 나타났다.,양상이,"NO_MATCH(exact lemma vs vocabulary_contents 5,820)",NEW_PRIVATE_LOADABLE,,,SR_L6COREV2_5011,6,REVIEW_BOUNDARY
5012,V,schemareading-tooldict,언급,명사,어떤 문제에 대하여 말함.,어떤 문제에 대하여 말함,발표자는 예산 문제에 대해서는 언급을 피했다.,언급을,"NO_MATCH(exact lemma vs vocabulary_contents 5,820)",NEW_PRIVATE_LOADABLE,,,SR_L6COREV2_5012,6,REVIEW_BOUNDARY
5014,V,schemareading-tooldict,역점,명사,심혈을 기울이거나 쏟는 점.,심혈을 기울이거나 쏟는 점,이번 정책은 청년 일자리 창출에 역점을 두고 있다.,역점을,"NO_MATCH(exact lemma vs vocabulary_contents 5,820)",NEW_PRIVATE_LOADABLE,,,SR_L6COREV2_5014,6,REVIEW_BOUNDARY
5015,V,schemareading-tooldict,연쇄,명사,연결된 사슬.,서로 연결된 사슬,여러 고리가 이어진 연쇄를 손으로 당겨 보았다.,연쇄를,"NO_MATCH(exact lemma vs vocabulary_contents 5,820)",NEW_PRIVATE_LOADABLE,literacy.db 정의는 '연쇄 반응'류 비유적 의미가 아니라 물리적으로 이어진 사슬 자체를 가리키는 좁은 의미다 - 예문도 물리적 맥락으로만 작성해 원천 정의를 벗어나지 않게 함.,,SR_L6COREV2_5015,6,REVIEW_BOUNDARY
5016,V,schemareading-tooldict,여지,의존명사,어떤 일을 하거나 어떤 일이 일어날 가능성이나 희망.,어떤 일을 하거나 어떤 일이 일어날 수 있는 가능성이나 여유,그의 설명은 오해할 여지가 없을 만큼 명확했다.,여지가,"NO_MATCH(exact lemma vs vocabulary_contents 5,820)",NEW_PRIVATE_LOADABLE,,,SR_L6COREV2_5016,6,REVIEW_BOUNDARY
5020,V,schemareading-tooldict,이룩,명사,이룩하다의 어근. 어떤 큰 현상이나 사업 따위를 이룸.,어떤 큰 현상이나 사업 따위를 이룸,선수단은 이번 대회에서 값진 성과를 이룩했다.,이룩했다,"NO_MATCH(exact lemma vs vocabulary_contents 5,820)",NEW_PRIVATE_LOADABLE,,,SR_L6COREV2_5020,6,REVIEW_BOUNDARY
5021,V,schemareading-tooldict,이면,명사,물체의 뒤쪽 면.,물체의 뒤쪽에 있는 면,화려한 성공의 이면에는 수많은 실패가 있었다.,이면에는,"NO_MATCH(exact lemma vs vocabulary_contents 5,820)",NEW_PRIVATE_LOADABLE,'전면'(앞면)과 정반대 의미의 대비 짝(앞면/뒷면) - 동시 출제 시 구분 문구 권장.,,SR_L6COREV2_5021,6,REVIEW_BOUNDARY
5023,V,schemareading-tooldict,이상하다,형용사,정상적인 상태와 다르다.,정상적인 상태와 다르다,기계에서 이상하다 싶은 소리가 났다.,이상하다,"NO_MATCH(exact lemma vs vocabulary_contents 5,820)",NEW_PRIVATE_LOADABLE,,,SR_L6COREV2_5023,6,REVIEW_BOUNDARY
5024,V,schemareading-tooldict,이성,명사,개념적으로 사유하는 능력을 감각적 능력에 상대하여 이르는 말. 인간을 다른 동물과 구별시켜 주는 인간의 본질적 특성이다.,,,,"NO_MATCH(exact lemma vs vocabulary_contents 5,820)",HOLD,,"동형이의어 '이성'(理性: 사유 능력 / 異性: 남녀 관계)의 목표 뜻이 확정되지 않음. literacy.db 항목 자체는 '개념적 사유 능력'(理性) 하나뿐이라 DB 내부 충돌은 없으나, 일상어에서 '異性'(남녀 관계) 의미가 더 흔히 쓰여 학생용 정의/예문만으로는 혼동 소지가 커 목표 뜻과 구분 표기 방침이 확정될 때까지 HOLD.",,,
5025,V,schemareading-tooldict,입각,명사,어떤 사실이나 주장 따위에 근거를 두어 그 입장에 섬.,어떤 사실이나 주장에 근거를 두어 그런 입장에 섬,정책은 현실에 입각하여 신중하게 마련되어야 한다.,입각하여,"NO_MATCH(exact lemma vs vocabulary_contents 5,820)",NEW_PRIVATE_LOADABLE,,,SR_L6COREV2_5025,6,REVIEW_BOUNDARY
5026,V,schemareading-tooldict,패러다임,명사,어떤 한 시대 사람들의 견해나 사고를 근본적으로 규정하고 있는 테두리로서의 인식의 체계. 또는 사물에 대한 이론적인 틀이나 체계.,어떤 시대 사람들의 견해나 사고방식을 근본적으로 규정하는 인식의 틀. 또는 어떤 대상을 바라보는 이론적인 틀이나 체계,새로운 기술의 등장으로 산업 전반의 패러다임이 바뀌었다.,패러다임이,"NO_MATCH(exact lemma vs vocabulary_contents 5,820)",NEW_PRIVATE_LOADABLE,,,SR_L6COREV2_5026,6,REVIEW_BOUNDARY
