literacy_term_id,headword,pos,definition,reuse_check,dryrun_status,existing_caution_phase23,additional_note_phase25
4959,전면,명사,물체의 앞쪽 면.,"NO_MATCH(exact lemma vs vocabulary_contents 5,820)",READY_FOR_NEXT_BATCH,이면(뒷면)과 정반대 의미의 대비 짝(앞면/뒷면) - 동시 출제 시 구분 문구 권장,
4971,통찰,명사,예리한 관찰력으로 사물을 꿰뚫어 봄.,"NO_MATCH(exact lemma vs vocabulary_contents 5,820)",READY_FOR_NEXT_BATCH,"고찰과 의미 인접(둘 다 ""깊이 살펴봄"" 계열) - 혼동 가능, 구분 문구 권장",
4976,객관성,명사,주관으로부터 독립하여 존재하는 대상 자체에 속하여 있는 성질.,"NO_MATCH(exact lemma vs vocabulary_contents 5,820)",READY_FOR_NEXT_BATCH,"객관적과 같은 어근(""객관"")의 명사/관형사 파생쌍 - 같은 세트 출제 시 개념 중복 위험",
4977,객관적,명사,자기와의 관계에서 벗어나 제삼자의 입장에서 사물을 보거나 생각하는 것.,"NO_MATCH(exact lemma vs vocabulary_contents 5,820)",READY_FOR_NEXT_BATCH,"객관성과 같은 어근(""객관"")의 명사/관형사 파생쌍 - 같은 세트 출제 시 개념 중복 위험",
4982,고찰,명사,어떤 것을 깊이 생각하고 연구함.,"NO_MATCH(exact lemma vs vocabulary_contents 5,820)",READY_FOR_NEXT_BATCH,"통찰과 의미 인접(둘 다 ""깊이 살펴봄"" 계열) - 혼동 가능, 구분 문구 권장",
4990,기호성,명사,즐기고 좋아하는 성질이나 특성.,"NO_MATCH(exact lemma vs vocabulary_contents 5,820)",READY_FOR_NEXT_BATCH,,
4992,논증,명사,옳고 그름을 이유를 들어 밝힘. 또는 그 근거나 이유.,"NO_MATCH(exact lemma vs vocabulary_contents 5,820)",READY_FOR_NEXT_BATCH,,
4993,논지,명사,논하는 말이나 글의 취지.,"NO_MATCH(exact lemma vs vocabulary_contents 5,820)",READY_FOR_NEXT_BATCH,,
4994,논하다,동사,의견이나 이론을 조리 있게 말하다.,"NO_MATCH(exact lemma vs vocabulary_contents 5,820)",READY_FOR_NEXT_BATCH,,
4995,매커니즘,명사,사물의 작용 원리나 구조.,"NO_MATCH(exact lemma vs vocabulary_contents 5,820)",READY_FOR_NEXT_BATCH,,"literacy.db 표제어 표기가 '매커니즘'(현행 외래어 표기법상 표준은 '메커니즘') - 다음 배치에서 학생용 정의·예문 작성 시 표기 처리 방침을 정해야 함(원문 그대로 유지할지, 표준 표기로 교정할지는 사람 판단 필요). 이번 단계는 dry-run이라 결정하지 않음."
