idiom_id,sentence,context_type,grade_band,source
152,반 아이들 모두가 그 영화가 정말 재미있었다고 입을 모아 말했다.,situation,elem,handwritten-2026-09-03-b2
55,용돈은 얼마를 받든 넉넉할수록 더 좋다고 그는 웃으며 말했다.,situation,elem,handwritten-2026-09-03-b2
60,길을 물었더니 그는 전혀 상관없는 날씨 이야기를 늘어놓았다.,situation,elem,handwritten-2026-09-03-b2
65,아무리 충고해도 그는 한 귀로 듣고 한 귀로 흘려버렸다.,situation,elem,handwritten-2026-09-03-b2
84,그 소문을 듣고도 그녀는 믿어야 할지 말아야 할지 마음을 정하지 못했다.,situation,elem,handwritten-2026-09-03-b2
101,우여곡절이 있었지만 결국 진실은 밝혀지고 억울함은 풀렸다.,situation,elem,handwritten-2026-09-03-b2
102,사장은 그 개발자를 데려오기 위해 세 번이나 직접 찾아가 부탁했다.,situation,elem,handwritten-2026-09-03-b2
103,상황이 불리해지자 그는 뒤도 안 돌아보고 도망치는 것이 최선이라 판단했다.,situation,elem,handwritten-2026-09-03-b2
108,그는 몇 년 전부터 이 기술이 유행할 것을 미리 내다보고 준비해 두었다.,situation,elem,handwritten-2026-09-03-b2
130,유학을 갈지 취업을 할지 그는 두 가지 중 하나를 골라야 했다.,situation,elem,handwritten-2026-09-03-b2
141,그는 전통 방식을 깊이 연구하여 얻은 지혜로 새로운 제품을 개발했다.,situation,elem,handwritten-2026-09-03-b2
165,오랜 세월이 흘러도 그녀를 향한 그의 마음은 조금도 변하지 않았다.,situation,elem,handwritten-2026-09-03-b2
199,누구도 예상 못한 소식에 온 가족이 큰 충격에 휩싸였다.,situation,elem,handwritten-2026-09-03-b2
200,그의 실력은 어느새 자신을 가르쳤던 선생님을 뛰어넘을 정도로 성장했다.,situation,elem,handwritten-2026-09-03-b2
38,그 방대한 자료 중에서 이 정도 오류는 극히 일부에 지나지 않았다.,situation,mid,handwritten-2026-09-03-b2
40,한때 권력을 휘두르던 그 정치인도 오래지 않아 자리에서 물러났다.,situation,mid,handwritten-2026-09-03-b2
46,타지에서 크게 성공한 그는 자랑스러운 모습으로 고향 마을에 돌아왔다.,situation,mid,handwritten-2026-09-03-b2
59,가격이 똑같다면 그녀는 당연히 더 예쁘고 품질 좋은 것을 골랐다.,situation,mid,handwritten-2026-09-03-b2
62,행사 준비로 그는 아침부터 저녁까지 여기저기 뛰어다니느라 정신이 없었다.,situation,mid,handwritten-2026-09-03-b2
72,집이 불에 타 무너진 것을 본 그는 한동안 아무 말도 못 하고 멍하니 서 있었다.,situation,mid,handwritten-2026-09-03-b2
76,그는 개인의 이익을 모두 내려놓고 오직 회사와 동료들을 위해 헌신했다.,situation,mid,handwritten-2026-09-03-b2
87,죽을 위기에서 자신을 구해 준 그 은혜를 그는 평생 잊지 못했다.,situation,mid,handwritten-2026-09-03-b2
97,이런 실수는 이 회사에서 한두 번 있는 일이 아니라 흔하게 벌어지고 있었다.,situation,mid,handwritten-2026-09-03-b2
120,협력업체가 무너지자 그 회사도 결국 함께 어려움을 겪게 되었다.,situation,mid,handwritten-2026-09-03-b2
122,회의에서는 누구의 말이 맞고 틀린지를 놓고 한참 동안 논쟁이 이어졌다.,situation,mid,handwritten-2026-09-03-b2
