literacy_term_id,v_s,source,headword,definition,subject_category,note_raw,review_status_raw,reviewed_at,ai_tagged,external_id,classification
5747,S,schemareading-schema,합리성,이치나 논리에 맞고 타당한 성질.,사회,소분류: 경제와 생활 / 주차: 1주차 / [AI 자동 생성 뜻풀이],검수완료,2026-09-01 23:47:34,Y,social-768,REQUEUE_AI_GENERATED_PENDING_HUMAN_REVIEW
5748,S,schemareading-schema,경제적 자원,"인간의 경제 활동에 필요한 물자, 노동, 자본 따위를 통틀어 이르는 말.",사회,소분류: 경제와 생활 / 주차: 1주차 / [AI 자동 생성 뜻풀이],검수완료,2026-09-01 23:47:34,Y,social-769,REQUEUE_AI_GENERATED_PENDING_HUMAN_REVIEW
5749,S,schemareading-schema,상품,사고팔기 위하여 시장에 내놓는 물건.,사회,소분류: 경제와 생활 / 주차: 1주차 / [AI 자동 생성 뜻풀이],검수완료,2026-09-01 23:47:34,Y,social-770,REQUEUE_AI_GENERATED_PENDING_HUMAN_REVIEW
5750,S,schemareading-schema,자유재,대가를 지불하지 않고도 원하는 만큼 얻을 수 있는 재화.,사회,소분류: 경제와 생활 / 주차: 1주차 / [AI 자동 생성 뜻풀이],검수완료,2026-09-01 23:47:34,Y,social-771,REQUEUE_AI_GENERATED_PENDING_HUMAN_REVIEW
5751,S,schemareading-schema,경제재,희소성이 있어 대가를 지불해야만 얻을 수 있는 재화.,사회,소분류: 경제와 생활 / 주차: 1주차 / [AI 자동 생성 뜻풀이],검수완료,2026-09-01 23:47:34,Y,social-772,REQUEUE_AI_GENERATED_PENDING_HUMAN_REVIEW
5752,S,schemareading-schema,경제주체,"경제 활동에 참여하는 주체로, 가계, 기업, 정부 따위를 이름.",사회,소분류: 경제와 생활 / 주차: 1주차 / [AI 자동 생성 뜻풀이],검수완료,2026-09-01 23:47:34,Y,social-773,REQUEUE_AI_GENERATED_PENDING_HUMAN_REVIEW
5753,S,schemareading-schema,자유경쟁시장,정부의 개입 없이 개개인의 자유로운 경쟁에 맡기는 시장.,사회,소분류: 경제와 생활 / 주차: 1주차 / [AI 자동 생성 뜻풀이],검수완료,2026-09-01 23:47:34,Y,social-775,REQUEUE_AI_GENERATED_PENDING_HUMAN_REVIEW
5754,S,schemareading-schema,완전경쟁시장,다수의 수요자와 공급자가 제한 없이 자유롭게 거래하는 시장.,사회,소분류: 경제와 생활 / 주차: 1주차 / [AI 자동 생성 뜻풀이],검수완료,2026-09-01 23:47:34,Y,social-776,REQUEUE_AI_GENERATED_PENDING_HUMAN_REVIEW
5755,S,schemareading-schema,독점적 경쟁시장,다수의 판매자가 유사하지만 차별화된 상품을 파는 시장.,사회,소분류: 경제와 생활 / 주차: 1주차 / [AI 자동 생성 뜻풀이],검수완료,2026-09-01 23:47:34,Y,social-777,REQUEUE_AI_GENERATED_PENDING_HUMAN_REVIEW
5756,S,schemareading-schema,과점시장,소수의 기업이 시장의 공급을 대부분 차지하고 있는 시장.,사회,소분류: 경제와 생활 / 주차: 1주차 / [AI 자동 생성 뜻풀이],검수완료,2026-09-01 23:47:34,Y,social-778,REQUEUE_AI_GENERATED_PENDING_HUMAN_REVIEW
