idiom_a,headword_a,idiom_b,headword_b,rel_type,note
191,진퇴양난,192,진퇴유곡,confusable,둘 다 이러지도 저러지도 못함. 유곡은 골짜기에 갇혀 꼼짝 못 하는 쪽이 더 강하다.
5,각골지통,6,각골통한,confusable,"지통은 원통함 자체, 통한은 원통하고 한스러움까지 포함한다."
127,안하무인,85,방약무인,confusable,"안하무인은 남을 업신여기는 태도, 방약무인은 남이 없는 듯 함부로 구는 행동이다."
116,수수방관,139,오불관언,confusable,"수수방관은 보고만 있는 것, 오불관언은 아예 상관하지 않겠다는 태도 표명이다."
52,노심초사,177,전전긍긍,confusable,"노심초사는 애를 태우는 것, 전전긍긍은 두려워 떠는 것이다."
148,유유상종,201,초록동색,confusable,"유유상종은 같은 무리끼리 사귐, 초록동색은 처지가 같아 한편이 됨이다."
155,이심전심,9,간담상조,confusable,"이심전심은 말 없이 뜻이 통함, 간담상조는 속마음을 털어놓고 사귐이다."
215,혈혈단신,98,사고무친,confusable,"혈혈단신은 홀몸이라는 상태, 사고무친은 의지할 사람이 없다는 관계다."
26,고립무원,99,사면초가,confusable,"고립무원은 도움받을 데 없는 처지, 사면초가는 사방이 적에게 둘러싸인 형세다."
110,설상가상,182,점입가경,confusable,"설상가상은 나쁜 일이 겹치는 것, 점입가경은 갈수록 더해지는 것이다."
3,각고면려,180,절차탁마,confusable,"각고면려는 애써 노력함, 절차탁마는 갈고닦아 완성해 감이다."
39,군웅할거,86,백가쟁명,confusable,"군웅할거는 세력 다툼, 백가쟁명은 학설과 주장의 다툼이다."
12,갑론을박,111,설왕설래,confusable,"갑론을박은 서로 반박함, 설왕설래는 말이 오가며 옥신각신함이다."
111,설왕설래,188,중구난방,confusable,"설왕설래는 주고받는 말, 중구난방은 막을 수 없이 여럿이 떠드는 것이다."
57,대경실색,219,혼비백산,confusable,"대경실색은 얼굴빛이 변함, 혼비백산은 넋을 잃음이다."
145,유구무언,212,함구무언,confusable,"유구무언은 할 말이 없어 못 하는 것, 함구무언은 알면서 입을 다무는 것이다."
80,무위도식,81,무위자연,confusable,"글자는 닮았으나 무위도식은 놀고먹는 것, 무위자연은 자연에 맡기는 삶이다."
168,자가당착,170,자승자박,confusable,"자가당착은 앞뒤 말이 모순됨, 자승자박은 제 말에 제가 묶여 곤란해짐이다."
173,자포자기,169,자격지심,confusable,"자포자기는 스스로 내던짐, 자격지심은 스스로 미흡하게 여기는 마음이다."
163,일진일퇴,191,진퇴양난,confusable,"일진일퇴는 나아갔다 물러섰다 하는 것, 진퇴양난은 어느 쪽으로도 못 가는 것이다."
195,천양지차,15,격세지감,confusable,"천양지차는 두 대상의 차이, 격세지감은 시간이 지나 달라진 느낌이다."
70,만시지탄,71,망양지탄,confusable,"만시지탄은 때를 놓친 한탄, 망양지탄은 학문의 길이 갈려 헤매는 한탄이다."
71,망양지탄,74,맥수지탄,confusable,"망양지탄은 학문의 갈래, 맥수지탄은 나라가 망한 것을 한탄한다."
209,풍수지탄,70,만시지탄,confusable,"풍수지탄은 부모를 여읜 뒤의 한탄, 만시지탄은 일반적으로 때를 놓친 한탄이다."
209,풍수지탄,73,망운지정,confusable,"풍수지탄은 부모가 이미 안 계신 슬픔, 망운지정은 멀리 계신 부모를 그리는 마음이다."
73,망운지정,115,수구초심,confusable,"망운지정은 부모를 그리는 마음, 수구초심은 고향을 그리는 마음이다."
207,표리부동,75,면종복배,confusable,"표리부동은 겉과 속이 다른 상태, 면종복배는 앞에서 따르고 뒤에서 배반하는 행동이다."
207,표리부동,36,구밀복검,confusable,"구밀복검은 말은 달콤하나 속으로 해치려는 것으로, 표리부동보다 악의가 뚜렷하다."
35,교언영색,36,구밀복검,confusable,"교언영색은 아첨하는 말과 태도, 구밀복검은 그 속에 해칠 뜻이 있음을 말한다."
63,동상이몽,140,오월동주,confusable,"동상이몽은 함께 있으나 속이 다름, 오월동주는 적끼리 한 자리에 있게 된 처지다."
61,동병상련,140,오월동주,confusable,"동병상련은 같은 처지라 가엾게 여김, 오월동주는 적대하는 사이가 함께 있음이다."
7,각주구검,119,수주대토,confusable,"각주구검은 변한 상황을 못 보는 것, 수주대토는 요행만 기다리는 것이다."
136,연목구어,88,백년하청,confusable,"연목구어는 방법이 틀려 불가능한 것, 백년하청은 아무리 기다려도 안 되는 것이다."
56,당랑거철,153,이란투석,confusable,"당랑거철은 제 힘을 모르고 덤빔, 이란투석은 약한 것으로 강한 것을 치는 어리석음이다."
16,견강부회,203,침소봉대,confusable,"견강부회는 억지로 끌어다 붙임, 침소봉대는 작은 것을 크게 부풀림이다."
203,침소봉대,30,과대망상,confusable,"침소봉대는 남에게 부풀려 말함, 과대망상은 스스로 헛되게 믿는 증상이다."
